gene,mean_log1p,variance,morans_i
PLXNB2,0.47797329569555264,1.7177348673669437,0.07854012342589183
CDKN1A,0.8283896634544918,3.326759006006405,0.0766634825258119
AKT1,0.44149734599607976,1.5989988994579898,0.07608437432901952
LAMP1,0.5719834976249288,2.0796709620641285,0.07540787535696582
RTN4,0.5994275144766568,2.1761904192008843,0.07535895912274411
SMARCE1,0.46119391530652787,1.6858848118726353,0.07304218720139134
ATF4,1.0191130458518285,3.52541325631693,0.07209373548796295
LASP1,0.39402708229954964,1.4522088002581524,0.07082776162316143
WDR26,0.5894894733622384,2.140125586007947,0.07071751630720147
C11orf96,0.36512681407060127,1.6845927065414694,0.06974593126853382
PRKDC,0.43075641357094746,1.5980258101310452,0.0692739055335695
GTF2I,0.4294948396766211,1.5702562151351451,0.06924168596706474
LRRC59,0.4150971211873786,1.5268115259541841,0.06893305154388135
BGN,0.4652862771506637,2.0793850050068747,0.06778864957667928
IRAK1,0.5872881703294847,2.136033020686585,0.06547167675598484
TMX2,0.45222219579101497,1.6538772847151466,0.06515620300171901
CANX,0.46109517962614627,1.699856463397782,0.06513598513532094
CDV3,0.6374920295779896,2.368755337995776,0.06510549167006488
ARL8B,0.5878790455325833,2.1431501128769144,0.06470664638164919
PSME3,0.4024933487066159,1.478074920667603,0.06466857110240154
LUM,0.4081554873517625,1.8878111756485763,0.06420165093601542
APP,0.6029506257905074,2.227286409764651,0.06369881253683228
SRSF1,0.7517564912582141,2.6770944715274774,0.06303477791694781
GRB2,0.5877942072145739,2.1706640022063897,0.06286801381617814
HSPA9,0.5996318782488166,2.1907939374660717,0.061872279416513104
ARF6,0.49723320214958094,1.8702394713450492,0.06170048655504322
PSMC5,0.4727135388733989,1.7334387461499394,0.05992316288471202
CSNK1A1,0.4340766572896075,1.6218467123688962,0.059859401875483
MYL9,0.437600508403341,1.7495154539860651,0.05935544210691377
CTSL,0.4752451915587069,2.1311481484884167,0.05809634191515526
EIF3C,0.7549502848489256,2.7270004110159993,0.05737802742270104
PTGES3,0.5638193190943036,2.0807322374109516,0.0558009182005963
SOCS3,0.5300602193546189,2.2424137152278707,0.05543242497562329
MYH9,0.9035255078350307,3.2360664943412503,0.05490758907432717
SERPINE1,0.3278911760051404,1.536927600128003,0.054726307635769
PRKAR1A,0.5484840410809819,2.0261810897015198,0.054576946824322306
GANAB,0.44067234798815835,1.6234284451370058,0.05334575344737325
KPNB1,0.4578591891472146,1.6925499459060724,0.05317887915736477
HSPA8,0.9061773139352074,3.2497316679234887,0.0515390868715239
CLPTM1L,0.3670310357685212,1.3761734080320622,0.05136886687238772
RAN,0.5965278227556567,2.1952328036361215,0.05124319616434263
PEA15,0.5298756078152576,1.996247966721691,0.050673754118917565
HNRNPH1,1.2370749988922498,4.095701410681491,0.0505285629173107
DAP,0.40893777988823005,1.5466607779975319,0.050209436279912846
PDIA3,0.43264982087224396,1.623807499839421,0.049805292173013896
MRFAP1L1,0.4759002066494247,1.785604552719461,0.049296881498336824
RHOA,0.6480946704337126,2.383829169711247,0.04924245223570515
PIM1,0.3401213274937182,1.560050992241687,0.04883896700915013
ANXA2,0.5093540040983432,1.9480670651982595,0.048660594599868094
GOLPH3,0.5576558852012906,2.0758373813200075,0.04759600300592732
RPN1,0.37203195445703974,1.4031117627196923,0.046998897628424054
HNRNPUL1,0.5192431844270073,1.954345079809351,0.046860836778783985
PDXDC1,0.5091623901873119,1.8823022743814866,0.04590932053875803
HSPE1,0.534476224602768,2.0165526250332118,0.04572432397524342
HNRNPD,0.823520742185577,2.943298714459787,0.04551540382213029
RBBP4,0.4161974358767159,1.5608622602532636,0.04547631996777563
PKM,0.6044726852561134,2.239600398167739,0.04528233598234405
